query,region,correct,wrong,F1_correct,F1_wrong,IoU_correct,IoU_wrong,building_prob_correct,building_prob_wrong,building_recall_correct,building_recall_wrong,F1_wrong_minus_correct,mean_wrong_minus_correct,mean_absolute_probability_difference,foreground_ratio_difference@0.5,spatial_binary_disagreement@0.5
Q-urban-1-1m,urban,P1-1m,W-vegetation-1m,0.37068007608716125,0.0,0.22750601072683557,0.0,0.28016287088394165,0.004632746800780296,0.23395302396348422,0.0,-0.37068007608716125,-0.03865587338805199,0.09498759359121323,-0.026045223389198117,0.058137272481029754
Q-urban-1-1m,urban,P1-1m,W-field-1m,0.37068007608716125,0.0,0.22750601072683557,0.0,0.28016287088394165,0.0049071540124714375,0.23395302396348422,0.0,-0.37068007608716125,-0.04317767173051834,0.08750876039266586,-0.03924904910327673,0.04493344676695114
Q-urban-1-1m,urban,P2-1m,W-vegetation-1m,0.08442046308312273,0.0,0.04407045567995436,0.0,0.11478797346353531,0.004632746800780296,0.04407569418029669,0.0,-0.08442046308312273,-0.012837295420467854,0.06829240918159485,0.008953880078284456,0.023138169013547177
Q-urban-1-1m,urban,P2-1m,W-field-1m,0.08442046308312273,0.0,0.04407045567995436,0.0,0.11478797346353531,0.0049071540124714375,0.04407569418029669,0.0,-0.08442046308312273,-0.017359092831611633,0.058670904487371445,-0.004249945635794156,0.009934343299468566
Q-urban-1-1m,urban,P3-1m,W-vegetation-1m,0.048345937920475104,0.0,0.024771776340813997,0.0,0.041414592415094376,0.004632746800780296,0.024771776340813997,0.0,-0.048345937920475104,0.019547386094927788,0.03865881264209747,0.012070761213332774,0.020021287878498863
Q-urban-1-1m,urban,P3-1m,W-field-1m,0.048345937920475104,0.0,0.024771776340813997,0.0,0.041414592415094376,0.0049071540124714375,0.024771776340813997,0.0,-0.048345937920475104,0.015025588683784008,0.031863484531641006,-0.0011330645007458387,0.006817462164420249
Q-urban-1-1.5m,urban,P1-1.5m,W-vegetation-1.5m,0.0012660898923823592,0.0,0.000633445945945946,0.0,0.10261940956115723,0.003994305618107319,0.000633445945945946,0.0,-0.0012660898923823592,-0.017439978197216988,0.047658223658800125,0.005501297115824813,0.005730199908438883
Q-urban-1-1.5m,urban,P1-1.5m,W-field-1.5m,0.0012660898923823592,0.0,0.000633445945945946,0.0,0.10261940956115723,0.005089402664452791,0.000633445945945946,0.0,-0.0012660898923823592,-0.017989834770560265,0.04361567273736,-0.00011445139630703495,0.00011445139630703495
Q-urban-1-1.5m,urban,P2-1.5m,W-vegetation-1.5m,0.0,0.0,0.0,0.0,0.002951565897092223,0.003994305618107319,0.0,0.0,0.0,0.014306804165244102,0.015616128221154213,0.005615748512131848,0.005615748512131848
Q-urban-1-1.5m,urban,P2-1.5m,W-field-1.5m,0.0,0.0,0.0,0.0,0.002951565897092223,0.005089402664452791,0.0,0.0,0.0,0.0137569485232234,0.014324942603707314,0.0,0.0
